Segment_ID,RMS_Noisy,RMS_Cleaned,RMS_diff,Correlation,P_Value
117.0,133.2327,71.6504,61.58229999999999,0.6202,0.03821521773402347
118.0,103.2912,36.7693,66.5219,0.4481,0.0018892719245556294
119.0,100.728,22.7835,77.94449999999999,0.2737,0.027486334958602233
120.0,87.9049,24.6425,63.2624,0.4465,0.01996644096420971
121.0,60.5708,16.5325,44.0383,0.4254,9.657803064657283e-14
122.0,52.1518,34.7002,17.4516,0.6819,0.07761902352186932
123.0,43.1674,31.5148,11.6526,0.7071,0.7416080369249998
124.0,92.5416,23.5177,69.0239,0.2997,2.4394096484064808e-17
125.0,31.1487,24.3621,6.7866,0.7876,8.618652169348183e-09
126.0,47.1165,40.7685,6.347999999999999,0.8576,0.42696094154195696
127.0,53.1912,51.3594,1.8318000000000012,0.8518,0.8452211905945567
128.0,49.85,41.3067,8.543300000000002,0.6885,0.2325089642270981
129.0,57.458,31.7222,25.735799999999998,0.6752,0.20660111694259098
130.0,44.8651,21.8531,23.011999999999997,0.4914,0.8052811145504576
131.0,53.9093,18.5359,35.373400000000004,0.4347,5.467110542067218e-33
132.0,56.733,12.5897,44.143299999999996,0.3758,3.2071426381219284e-13
133.0,47.627,16.1851,31.441900000000004,0.3776,4.927318286250042e-20
134.0,107.2941,48.9741,58.32,0.4359,0.39719819609002827
135.0,232.897,108.0693,124.8277,0.2434,0.587779864595686
136.0,172.8512,53.2105,119.64070000000001,0.362,0.9354700428499712
137.0,183.3078,66.2893,117.01849999999999,0.2769,0.9712386032713093
138.0,180.8016,180.8016,0.0,1.0,0.06154707908025315
139.0,154.2101,104.7648,49.44530000000002,0.6786,0.38104887842987156
140.0,45.8404,13.8939,31.9465,0.4455,3.004408654720532e-32
141.0,49.7593,18.6162,31.143100000000004,0.4959,2.6848603014308864e-35
142.0,35.2834,12.3437,22.939700000000002,0.4796,7.51257677517423e-12
143.0,64.3818,31.8492,32.5326,0.649,6.976202371665029e-09
144.0,51.2351,19.3585,31.876600000000003,0.439,7.698982843437467e-08
145.0,77.9655,22.2473,55.71820000000001,0.3885,0.2635829371869104
146.0,54.1734,31.1114,23.062,0.5676,0.011318900760796812
147.0,42.356,30.2937,12.0623,0.5895,0.04893510800271086
148.0,56.1059,13.4238,42.6821,0.2468,6.166262752804076e-22
149.0,59.703,41.0069,18.6961,0.7633,0.043320683638197015
150.0,38.2723,14.6889,23.5834,0.5264,5.306693754039001e-85
151.0,34.251,14.6861,19.564899999999998,0.5727,5.647079700078011e-46
152.0,59.945,34.7323,25.212699999999998,0.7101,0.029675918864456828
153.0,60.8783,29.8152,31.063100000000002,0.6612,0.1878910537461853
154.0,63.7701,25.6289,38.1412,0.5761,0.04371312570944223
155.0,53.787,28.842,24.945,0.7153,4.1828321451381504e-05
156.0,58.1662,24.8315,33.334700000000005,0.6112,0.00033938526985175405
157.0,80.364,37.7919,42.572100000000006,0.3262,0.0680387171654118
158.0,69.076,51.9587,17.117299999999993,0.6748,0.06634713166837872
159.0,48.9303,29.0687,19.861600000000003,0.7107,9.52884059525575e-44
160.0,53.1256,37.4946,15.631,0.6563,0.0032284593072287216
161.0,41.1789,32.3572,8.8217,0.7975,0.8763658874357718
162.0,52.4427,38.7475,13.6952,0.8404,0.3869058237789883
163.0,12.8312,10.64,2.1912000000000003,0.717,0.3727968759668925
164.0,41.59,20.4724,21.117600000000003,0.6693,3.931829933733687e-76
165.0,95.4371,58.1724,37.2647,0.3711,0.7685534577105433
166.0,69.9353,69.9353,0.0,1.0,0.020810284822419922
167.0,157.9719,85.9006,72.07130000000001,0.548,1.0998164430441826e-35
168.0,136.2902,91.5932,44.697,0.6641,2.564133129869115e-31
169.0,132.0659,114.1148,17.951099999999997,0.8312,0.04982103969939753
170.0,159.5831,75.7626,83.8205,0.4913,0.8765720584897615
171.0,94.9302,38.4124,56.5178,0.2694,1.5343230523469957e-51
172.0,137.3885,111.154,26.234499999999997,0.7487,6.678357104959911e-34
173.0,20.4554,4.4322,16.023200000000003,0.1732,4.8362400512542404e-05
174.0,55.8116,33.9721,21.8395,0.6274,0.8281487255535002
175.0,58.153,35.5661,22.5869,0.5954,0.11340112543014563
176.0,45.2475,19.7589,25.4886,0.4625,0.006931491844971161
177.0,68.807,31.7286,37.0784,0.6268,0.5790081472603584
178.0,120.4659,49.8574,70.6085,0.4587,0.10683020635417846
179.0,83.3929,75.609,7.783900000000003,0.8665,5.340227264222101e-11
180.0,39.0844,39.0844,0.0,1.0,0.5755992927907924
181.0,51.3298,47.5836,3.7462000000000018,0.7999,0.7826649550353587
182.0,71.7285,54.2054,17.5231,0.8321,3.566017988313705e-25
183.0,58.295,25.2707,33.0243,0.6118,0.1642002532908874
184.0,131.1989,90.6999,40.49900000000001,0.7644,1.9684936888006894e-38
185.0,101.3091,31.6771,69.632,0.3764,0.9925175452227024
186.0,140.7434,33.4245,107.31890000000001,0.2547,0.09986989016735374
187.0,82.7216,30.7024,52.0192,0.3557,0.4975231214152013
188.0,110.7552,87.8053,22.9499,0.8733,6.553284615172076e-61
189.0,110.2431,89.4982,20.7449,0.8668,1.554343430549242e-54
190.0,100.5394,56.2311,44.3083,0.6085,1.3369692722390001e-40
191.0,68.7075,33.0697,35.6378,0.6342,3.537109236176773e-33
192.0,65.3978,41.0592,24.338600000000007,0.558,0.007213651108553933
193.0,48.9479,26.0211,22.926799999999997,0.6387,9.052535516044414e-18
194.0,70.0557,38.2149,31.8408,0.5894,0.021401574801589583
195.0,44.14,28.8154,15.3246,0.5302,0.29004034518122
196.0,54.032,32.8378,21.194199999999995,0.7383,0.7862257850831926
197.0,57.6719,12.6936,44.978300000000004,0.3877,3.636954985046513e-24
198.0,34.0493,23.5041,10.545200000000001,0.765,2.678505134359323e-10
199.0,49.25,33.9039,15.3461,0.6319,1.668696367994665e-12
200.0,24.1676,5.8662,18.3014,0.2073,0.01569633635650065
201.0,68.4281,48.9459,19.4822,0.7678,0.0011090123971841258
202.0,42.4931,23.131,19.362099999999998,0.4669,7.003624314056857e-35
203.0,78.6653,58.0157,20.6496,0.81,0.1131459114781294
204.0,57.3656,33.6645,23.701100000000004,0.5897,2.4824972619131885e-12
205.0,30.1427,17.4187,12.724,0.6709,4.207928314080585e-58
206.0,11.8651,11.8651,0.0,1.0,0.6151319133144029
207.0,14.5727,11.4734,3.0992999999999995,0.7166,1.6433142103202383e-12
208.0,26.3616,19.3606,7.000999999999998,0.7422,2.0763967876638698e-19
209.0,18.3966,13.1217,5.274899999999999,0.7507,0.3093446913095974
210.0,39.0079,26.1064,12.901499999999999,0.7519,0.0018474381853923823
211.0,68.0336,22.132,45.9016,0.2645,0.05677455147510114
212.0,54.3088,40.5533,13.755499999999998,0.8621,5.796003634669113e-12
213.0,47.3753,13.5392,33.8361,0.258,5.384456371649292e-14
214.0,87.7004,39.2329,48.4675,0.5513,0.37375955244596515
215.0,33.9333,21.4995,12.433800000000002,0.5444,4.313126197839714e-09
216.0,34.2408,18.9745,15.266300000000001,0.5459,0.000365901745919201
217.0,18.0778,18.0778,0.0,1.0,0.7123724049678646
218.0,24.3426,20.7194,3.6232000000000006,0.9121,1.128151950564649e-06
219.0,11.9864,8.5292,3.4572000000000003,0.6882,0.7845883916409672
220.0,22.0045,22.0045,0.0,1.0,0.2284068920834481
221.0,19.5811,5.3863,14.194799999999999,0.3174,0.00024101856045402652
222.0,9.2206,8.1838,1.0367999999999995,0.8239,0.31305779333929007
223.0,72.2269,46.7016,25.5253,0.757,2.7068458720996413e-13
224.0,24.9136,17.0655,7.848099999999999,0.7765,0.3527237504648085
225.0,15.1299,5.7276,9.4023,0.3193,6.721051781158414e-05
226.0,41.0392,11.3122,29.727,0.5387,4.6988464926478e-151
227.0,30.1512,18.6952,11.456,0.6084,3.70954912987285e-15
228.0,22.9765,7.5889,15.387600000000003,0.4845,3.4137521435785123e-50
229.0,37.0008,11.7528,25.247999999999998,0.5752,2.6941416650235086e-71
230.0,48.2185,24.8768,23.3417,0.7363,4.613317983132704e-20
231.0,44.9367,21.7587,23.178,0.6014,8.861557658271804e-05
232.0,25.7759,7.6822,18.0937,0.5586,8.36752070349114e-61
233.0,28.0725,16.8648,11.207700000000003,0.6616,5.583231909384016e-41
234.0,7.6911,6.6511,1.04,0.6822,0.965638529484968
235.0,7.5759,3.4935,4.0824,0.4224,0.15386342977765577
236.0,8.1641,8.1641,0.0,1.0,0.6562895861062015
237.0,59.5953,59.5953,0.0,1.0,0.18691087459230438
238.0,52.4996,16.525,35.9746,0.2852,0.004598719703953971
239.0,63.8205,25.8985,37.922000000000004,0.2937,0.0050703714637478
240.0,39.0494,27.0469,12.002499999999998,0.8139,0.38717241467754404
241.0,9.0441,6.5595,2.4846000000000004,0.648,0.8194244734455254
242.0,20.6758,12.017,8.6588,0.5714,3.7751092885463106e-05
243.0,8.6941,6.5689,2.1252000000000004,0.7032,0.00020323597170409448
244.0,8.1635,7.052,1.1115000000000013,0.8509,0.7559380892443469
245.0,6.9488,6.0561,0.8927000000000005,0.6526,0.5338848551956712
