Segment_ID,RMS_Noisy,RMS_Cleaned,RMS_diff,Correlation,P_Value
137.0,183.3078,7.7183,175.5895,0.2331,3.181049543463797e-17
138.0,180.8016,8.309,172.4926,-0.296,8.714546642937251e-31
139.0,154.2101,6.122,148.0881,-0.2214,3.1199747048958195e-21
140.0,45.8404,2.6311,43.2093,0.0157,1.6718519954740803e-18
141.0,49.7593,2.1582,47.6011,-0.3646,8.289674582775879e-07
142.0,35.2834,1.7298,33.5536,0.0091,2.3765582476103174e-06
143.0,64.3818,3.9454,60.4364,0.201,2.5327167301071575e-11
144.0,51.2351,2.6126,48.6225,-0.1921,0.008772444963439444
145.0,77.9655,3.817,74.14850000000001,-0.3647,0.0029636609504630177
146.0,54.1734,2.4769,51.6965,0.1343,5.166380038976266e-74
147.0,42.356,2.3808,39.9752,0.101,9.157293316746093e-99
148.0,56.1059,3.2886,52.817299999999996,0.1082,3.016604751201955e-17
149.0,59.703,2.9608,56.742200000000004,0.0358,2.4068416732686136e-14
150.0,38.2723,2.2122,36.0601,0.054,3.043163977509021e-10
151.0,34.251,2.058,32.193,0.0954,0.008171603393854837
152.0,59.945,2.7315,57.2135,-0.0663,0.0004723940563441727
153.0,60.8783,2.7509,58.1274,-0.2203,1.637050137630422e-07
154.0,63.7701,2.7248,61.0453,-0.0403,1.6599580108082415e-17
155.0,53.787,2.6886,51.0984,-0.1624,3.0996703068992885e-11
156.0,58.1662,2.4746,55.6916,-0.2622,0.20147822447153552
157.0,80.364,4.3236,76.0404,-0.0548,1.55516608132949e-59
158.0,69.076,3.1701,65.90589999999999,0.463,0.01656387411940658
159.0,48.9303,2.0398,46.8905,0.1731,3.0286086600828875e-87
160.0,53.1256,2.5303,50.5953,-0.0744,3.453303123921833e-13
161.0,41.1789,2.4017,38.7772,-0.1255,7.734255101685784e-06
162.0,52.4427,2.4578,49.9849,0.0296,9.341821877060411e-34
163.0,12.8312,0.9727,11.858500000000001,0.2238,1.9837102310847276e-47
164.0,41.59,2.1893,39.4007,0.1299,7.562133200476792e-36
165.0,95.4371,4.5427,90.8944,-0.0524,3.226341996435725e-08
166.0,69.9353,2.8641,67.0712,0.256,1.4278892513971117e-32
167.0,157.9719,6.6241,151.3478,-0.415,2.811198606875994e-19
168.0,136.2902,6.2402,130.05,0.1549,4.965384492406692e-93
169.0,132.0659,5.9598,126.1061,0.2006,2.4011170264694484e-06
170.0,159.5831,6.2307,153.3524,-0.301,2.8122928961154792e-05
171.0,94.9302,4.8666,90.0636,0.2867,1.2655995675494626e-100
172.0,137.3885,5.8927,131.4958,0.1699,0.9092431951790463
173.0,20.4554,0.9452,19.5102,0.1068,1.9250755050223558e-17
174.0,55.8116,2.2528,53.5588,-0.1044,2.218553861494368e-14
175.0,58.153,2.6253,55.527699999999996,-0.1058,0.17010121420666668
176.0,45.2475,1.8902,43.3573,-0.0321,6.225173055941826e-05
177.0,68.807,3.0314,65.7756,0.0416,0.16659224452815413
178.0,120.4659,5.8228,114.6431,-0.0586,5.893522798973886e-06
179.0,83.3929,4.1423,79.25059999999999,-0.109,4.370547689437419e-08
180.0,39.0844,1.6733,37.411100000000005,-0.2511,0.06066392769527875
181.0,51.3298,2.1163,49.213499999999996,0.306,0.01570600240708051
182.0,71.7285,2.9056,68.82289999999999,0.064,0.3327885243239629
183.0,58.295,2.612,55.683,0.0071,0.7526169435166744
184.0,131.1989,6.6381,124.56080000000001,-0.0328,0.6535226568544861
185.0,101.3091,5.2211,96.088,-0.1926,0.6823967015084452
186.0,140.7434,7.4349,133.3085,-0.0656,6.711532620402649e-06
187.0,82.7216,5.165,77.55659999999999,0.1048,5.293377419742872e-09
188.0,110.7552,4.6882,106.06700000000001,0.2104,2.5458979156492624e-10
189.0,110.2431,6.2285,104.0146,0.0732,5.2117719751861735e-14
190.0,100.5394,4.1038,96.4356,0.005,7.720566836234505e-89
191.0,68.7075,3.7549,64.95259999999999,0.1293,0.0006094352001955968
192.0,65.3978,3.6653,61.7325,0.1818,0.5741871415187929
193.0,48.9479,2.5496,46.3983,0.0666,1.7946578873938733e-13
194.0,70.0557,3.1765,66.8792,-0.0402,1.8874773153970882e-30
195.0,44.14,1.8506,42.2894,-0.043,1.2883555567658224e-38
196.0,54.032,2.2372,51.794799999999995,0.116,0.16144240483816807
197.0,57.6719,2.5094,55.1625,0.0526,0.012448037256827464
198.0,34.0493,1.4816,32.5677,-0.0894,1.551845794739732e-44
199.0,49.25,2.1273,47.1227,-0.1804,9.572963748513158e-33
200.0,24.1676,1.3561,22.8115,-0.119,2.9751558246574415e-21
201.0,68.4281,2.8376,65.5905,0.1507,4.163924527678563e-12
202.0,42.4931,1.9329,40.560199999999995,-0.1771,6.945756630727876e-53
203.0,78.6653,3.5192,75.1461,0.3808,3.65788382865234e-52
204.0,57.3656,2.333,55.0326,-0.1262,3.5231392554926346e-30
205.0,30.1427,1.5285,28.6142,0.2895,0.43879652174350703
206.0,11.8651,0.7248,11.1403,-0.0121,1.1508150988638124e-78
207.0,14.5727,1.5865,12.9862,0.1258,3.9090399611078705e-60
208.0,26.3616,1.39,24.9716,0.273,7.0704719400274645e-34
209.0,18.3966,1.2026,17.194,-0.1893,0.012821719873717387
210.0,39.0079,2.0048,37.003099999999996,0.0431,0.9785386585983767
211.0,68.0336,2.909,65.1246,-0.4118,4.743340355764167e-06
212.0,54.3088,2.3338,51.974999999999994,0.2243,8.06970020391659e-08
213.0,47.3753,1.9397,45.4356,-0.2364,3.934388334268583e-21
214.0,87.7004,4.2201,83.4803,-0.2957,8.653259714339676e-06
215.0,33.9333,1.9897,31.943600000000004,0.1168,4.0707666700752754e-47
216.0,34.2408,1.5801,32.6607,-0.2013,1.0442464104189418e-18
217.0,18.0778,0.9185,17.159299999999998,-0.008,6.598019680040513e-33
218.0,24.3426,1.2764,23.066200000000002,0.037,0.0012191347111520396
219.0,11.9864,0.8583,11.1281,0.0388,0.0008142344930570613
220.0,22.0045,1.5197,20.4848,-0.011,3.439976243811015e-36
221.0,19.5811,1.0438,18.5373,0.0036,7.91614481988485e-17
222.0,9.2206,0.6459,8.5747,-0.0312,2.33655005436168e-56
223.0,72.2269,2.9105,69.3164,0.0159,0.02702000500374804
224.0,24.9136,1.1103,23.8033,-0.1499,0.008141877522008668
225.0,15.1299,0.7932,14.336699999999999,0.1184,0.880255081513064
226.0,41.0392,1.7599,39.2793,0.3105,0.48048836050581345
227.0,30.1512,1.2663,28.8849,-0.0812,2.9144622929791623e-05
228.0,22.9765,1.0396,21.9369,0.1892,1.5685332258363391e-24
229.0,37.0008,1.5175,35.4833,-0.0444,0.4837017102663539
230.0,48.2185,2.9512,45.2673,0.3332,6.233113736954765e-11
231.0,44.9367,1.8854,43.051300000000005,0.2314,0.002953939225360098
232.0,25.7759,1.0667,24.7092,0.1057,6.086557990855555e-39
233.0,28.0725,1.17,26.902500000000003,0.021,4.452704780847907e-12
234.0,7.6911,0.4278,7.263299999999999,0.0755,2.0994778492663588e-48
235.0,7.5759,0.576,6.9999,-0.0859,0.024318103558987756
236.0,8.1641,0.5358,7.628299999999999,0.0123,6.575360074998454e-95
237.0,59.5953,2.5842,57.0111,0.1967,3.646509167714927e-14
238.0,52.4996,2.1118,50.3878,0.2633,8.609331866932652e-08
239.0,63.8205,2.7183,61.1022,0.1589,5.252322292546096e-21
240.0,39.0494,1.6427,37.4067,0.2187,0.09493522392089096
241.0,9.0441,0.3895,8.6546,0.2764,1.7387073525209125e-46
242.0,20.6758,1.0182,19.6576,0.1575,1.6020788651573825e-11
243.0,8.6941,0.6697,8.0244,0.0538,3.5380831466781317e-16
244.0,8.1635,0.4316,7.731900000000001,0.0644,5.971168120830933e-33
245.0,6.9488,0.4122,6.5366,0.0172,4.2083646883658675e-16
246.0,6.2912,0.4955,5.7957,0.179,0.022243847887800327
247.0,8.8416,0.5627,8.2789,0.1805,4.434429257494892e-58
248.0,63.9762,2.4943,61.481899999999996,0.3128,0.0007266222411920152
249.0,6.6161,0.4699,6.1462,0.0355,0.28949562942206564
250.0,33.572,1.3872,32.1848,0.0094,0.001981041161493782
251.0,21.9148,0.992,20.9228,0.2067,0.00022379193849644442
252.0,6.559,0.441,6.118,0.085,2.8457844241807543e-18
253.0,18.5879,0.8712,17.716700000000003,0.0134,0.35555705319685693
254.0,9.861,0.6493,9.2117,0.2743,0.03143491836071831
255.0,41.3446,1.7587,39.5859,0.2934,6.754451523053862e-10
256.0,19.732,0.8444,18.8876,0.0959,1.291517158198599e-40
257.0,9.5368,0.4319,9.104899999999999,0.145,6.300320365771452e-41
258.0,8.57,0.4699,8.100100000000001,-0.0787,9.25412531805304e-49
259.0,44.7977,1.8465,42.9512,0.0641,0.00368817738047029
260.0,36.8172,2.3362,34.481,0.1706,3.0172895787935625e-15
261.0,53.3132,2.5016,50.8116,-0.5202,2.2218884297850273e-06
262.0,170.4403,6.7089,163.7314,-0.6351,0.007576606959254853
263.0,141.6523,5.6254,136.02689999999998,-0.5213,0.11561472671988611
264.0,125.5312,4.9856,120.5456,-0.2196,0.34915418634477047
265.0,135.6718,5.3214,130.35039999999998,0.2134,0.03118246094054756
266.0,122.9886,4.8434,118.1452,0.2828,0.05076902119882616
267.0,10.0303,0.4863,9.544,0.1672,0.0008148933571342521
268.0,27.1386,1.1134,26.0252,0.2277,6.740762405581012e-47
269.0,19.736,1.0947,18.6413,-0.1352,6.976212556305674e-05
270.0,16.904,1.1289,15.7751,-0.0303,4.2821929811819884e-11
271.0,61.0126,2.7832,58.2294,0.003,4.126506130025445e-05
272.0,74.631,3.0729,71.5581,0.1738,0.0007400690393874972
273.0,53.2519,2.1358,51.116099999999996,-0.0645,0.32679964532929806
274.0,74.8264,3.4519,71.37450000000001,-0.0433,0.9893577836546164
275.0,69.8802,2.8525,67.0277,-0.1727,1.2660973476083278e-09
276.0,82.7775,3.3333,79.44420000000001,0.3621,0.019424111285208275
277.0,29.5973,1.2595,28.3378,0.0973,8.289249077702556e-43
278.0,164.7014,6.9263,157.7751,0.2952,0.0832041381661197
279.0,259.3928,10.4956,248.89720000000003,0.0395,0.42743946671306243
